,endTime,artistName,trackName,msPlayed
4508,2021-10-28 05:46,Kali Uchis,Dead To Me,2837
4509,2021-10-28 05:46,James Blake,Coming Back (feat. SZA),1280
4510,2021-10-28 05:46,Lyn Lapid,In My Mind,162794
4511,2021-10-28 05:46,Lyn Lapid,In My Mind,2304
4512,2021-10-28 05:46,SZA,Broken Clocks,1023
4513,2021-10-28 05:47,Snoh Aalegra,LOST YOU,89877
4514,2021-10-28 05:50,Charlotte Lawrence,Cowboys,135445
4515,2021-10-28 06:37,Charlotte Lawrence,Cowboys,103212
4516,2021-10-28 06:38,Billie Eilish,bitches broken hearts,44575
4517,2021-10-28 06:40,Billie Eilish,bitches broken hearts,131494
4518,2021-10-28 06:43,Kid Cudi,Sad People,175657
4519,2021-10-28 06:44,Weston Estate,Pears,19440
4520,2021-10-28 06:48,BETWEEN FRIENDS,affection,234659
4521,2021-10-28 06:50,Realestk,WFM,135542
4522,2021-10-28 06:53,Gesaffelstein,Lost in the Fire (feat. The Weeknd),201622
4523,2021-10-28 06:56,Doja Cat,Get Into It (Yuh),137902
4524,2021-10-28 06:59,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,195395
4525,2021-10-28 07:03,Taylor Swift,Wildest Dreams (Taylor's Version),219575
4526,2021-10-28 07:05,Dazel Ukuto,I Want You Back (Remix),142437
4527,2021-10-28 07:06,MC Flavor Crew,Talk About You (I Want You Back) [Talking to the Moon Tiktok Remix),79150
4528,2021-10-28 07:10,Dua Lipa,Love Again - Imanbek Remix,213687
4529,2021-10-28 07:14,Dua Lipa,Love Again,257648
4530,2021-10-28 07:17,Billie Eilish,Bored,179680
4531,2021-10-28 07:21,Doja Cat,Streets - Silhouette Remix,242128
4532,2021-10-28 07:25,Snoh Aalegra,Worse,95262
4533,2021-10-28 07:29,Doja Cat,Streets - Silhouette Remix,242692
4534,2021-10-28 07:36,Justin Bieber,Red Eye (feat. TroyBoi),1530
4535,2021-10-28 07:36,Snoh Aalegra,Worse,17997
4536,2021-10-28 07:42,Madonna,Frozen,367333
4537,2021-10-28 07:46,Kanye West,Hurricane,238182
4538,2021-10-28 07:49,SAINt JHN,Roses - Imanbek Remix,176840
4539,2021-10-28 07:53,Tyga,Taste (feat. Offset),232959
4540,2021-10-28 07:54,FISHER,Losing It,48745
4541,2021-10-28 07:57,Drake,Can I,189289
4542,2021-10-28 08:10,Rihanna,Sex With Me,206400
4543,2021-10-28 08:13,CKay,love nwantiti (ah ah ah),145800
4544,2021-10-28 08:17,Kehlani,Altar,243090
4545,2021-10-28 08:18,Surf Mesa,Carried Away (Love To Love) (with Madison Beer),76430
4546,2021-10-28 08:18,NEL,In Case You Change Your Mind,3990
4547,2021-10-28 08:18,Mr.Kitty,After Dark,1730
4548,2021-10-28 11:27,NEL,In Case You Change Your Mind,10691
4549,2021-10-28 11:30,James Blake,Coming Back (feat. SZA),195905
4550,2021-10-28 11:36,Kali Uchis,Dead To Me,19339
4551,2021-10-28 11:36,BETWEEN FRIENDS,affection,235225
4552,2021-10-28 11:36,Montell Fish,Talk 2 Me,1300
4553,2021-10-28 11:37,Lyn Lapid,In My Mind,14200
4554,2021-10-28 11:39,Realestk,WFM,136000
4555,2021-10-28 11:42,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
4556,2021-10-28 11:45,Doja Cat,Get Into It (Yuh),16706
4557,2021-10-28 11:49,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,195750
4558,2021-10-28 11:52,Taylor Swift,Wildest Dreams (Taylor's Version),220433
4559,2021-10-28 11:55,Dazel Ukuto,I Want You Back (Remix),142913
4560,2021-10-28 11:56,MC Flavor Crew,Talk About You (I Want You Back) [Talking to the Moon Tiktok Remix),79699
4561,2021-10-28 12:11,Dua Lipa,Love Again - Imanbek Remix,178903
4562,2021-10-28 12:15,Maroon 5,Animals,231013
4563,2021-10-28 12:18,Shawn Mendes,Teach Me How To Love,202356
4564,2021-10-28 12:27,BETWEEN FRIENDS,affection,235225
4565,2021-10-28 12:30,Realestk,WFM,136000
4566,2021-10-28 12:33,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
4567,2021-10-28 12:35,Doja Cat,Get Into It (Yuh),138293
4568,2021-10-28 12:39,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,195750
4569,2021-10-28 12:42,Taylor Swift,Wildest Dreams (Taylor's Version),220433
4570,2021-10-28 12:45,Dazel Ukuto,I Want You Back (Remix),142913
4571,2021-10-28 12:46,MC Flavor Crew,Talk About You (I Want You Back) [Talking to the Moon Tiktok Remix),79699
4572,2021-10-28 12:47,Dua Lipa,Love Again,1260
4573,2021-10-28 12:47,Doja Cat,Streets - Silhouette Remix,1150
4574,2021-10-28 12:47,Dua Lipa,Love Again - Imanbek Remix,24230
4575,2021-10-28 12:47,Billie Eilish,Bored,2710
4576,2021-10-28 12:50,Snoh Aalegra,Worse,132760
4577,2021-10-28 12:53,Justin Bieber,Red Eye (feat. TroyBoi),187452
4578,2021-10-28 12:59,Madonna,Frozen,367333
4579,2021-10-28 13:02,Kanye West,Hurricane,157823
4580,2021-10-28 13:02,FISHER,Losing It,3390
4581,2021-10-28 13:02,SAINt JHN,Roses - Imanbek Remix,1980
4582,2021-10-28 13:02,Tyga,Taste (feat. Offset),2720
4583,2021-10-28 13:05,Drake,Can I,189289
4584,2021-10-28 13:08,Rihanna,Sex With Me,206400
4585,2021-10-28 13:11,CKay,love nwantiti (ah ah ah),145800
4586,2021-10-28 13:15,Kehlani,Altar,243090
4587,2021-10-28 13:18,Surf Mesa,Carried Away (Love To Love) (with Madison Beer),182653
4588,2021-10-28 13:22,Mr.Kitty,After Dark,257147
4589,2021-10-28 13:26,NEL,In Case You Change Your Mind,208964
4590,2021-10-28 13:28,Skrillex,Don’t Go (with Justin Bieber & Don Toliver),168253
4591,2021-10-28 13:33,WizKid,Essence (feat. Justin Bieber & Tems),263288
4592,2021-10-28 13:38,Billie Eilish,Happier Than Ever,298899
4593,2021-10-28 13:41,Billie Eilish,NDA,195776
4594,2021-10-28 14:24,Normani,Wild Side (feat. Cardi B),153536
4595,2021-10-28 14:27,Shawn Mendes,Teach Me How To Love,202356
4596,2021-10-28 14:31,BETWEEN FRIENDS,affection,235225
4597,2021-10-28 14:33,Realestk,WFM,136000
4598,2021-10-28 14:37,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
4599,2021-10-28 14:39,Doja Cat,Get Into It (Yuh),138293
4600,2021-10-28 14:42,Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,195750
4601,2021-10-28 15:10,Taylor Swift,Wildest Dreams (Taylor's Version),193115
4602,2021-10-28 15:14,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
